abbreviation,Formula,Description,Compartment,Charge,bigg_name,ModelSEED,New_ID,Comments,,,,
hyisorate_c,C4H7O3,3-Hydroxy-2-methylpropanoate,c,-1,3hmp,,,,,,,
mmcoa_c,C25H35N7O19P3S,(S)-Methylmalonyl-CoA,c,-4,mmcoa__S,,,,,,,
rmmcoa_c,C25H35N7O19P3S,(R)-Methylmalonyl-CoA,c,-4,mmcoa__R,,,,,,,
aibut_c,C4H9NO2,L-3-Amino-isobutanoate,c,0,3aib,,,,,,,
dhdp_c,C7H5NO4,"L-2,3-Dihydrodipicolinate",c,-2,23dhdp,,,,,,,
acamoxm_c,C9H11NO6,N-Acetyl-L-2-amino-6-oxopimelate,c,-2,nal2a6o,,,,,,,
al26da_c,C9H15N2O5,"N6-Acetyl-LL-2,6-diaminoheptanedioate",c,-1,al26da,,,,,,,
sdapim_c,C11H16N2O7,"N-Succinyl-LL-2,6-diaminoheptanedioate",c,-2,sl26da,,,,,,,
dapim_c,C7H14N2O4,"LL-2,6-Diaminoheptanedioate",c,0,26dap_LL,,,,,,,
mdapim_c,C7H14N2O4,"meso-2,6-Diaminoheptanedioate",c,0,26dap__M,,,,,,,
lys_c,C6H15N2O2,L-Lysine,c,1,lys__L,,,,,,,
blys_c,C6H15N2O2,"(3S)-3,6-Diaminohexanoate",c,1,36dahx,,,,,,,
naglu_c,C7H9NO5,N-Acetyl-L-glutamate,c,-2,acglu,,,,,,,
naglup_c,C7H9NO8P,N-Acetyl-L-glutamate5-phosphate,c,-3,acg5p,,,,,,,
naglus_c,C7H10NO4,N-Acetyl-L-glutamate5-semialdehyde,c,-1,acg5sa,,,,,,,
naorn_c,C7H14N2O3,N-Acetylornithine,c,0,acorn,,,,,,,
orn_c,C5H13N2O2,L-Ornithine,c,1,orn,,,,,,,
citr_c,C6H13N3O3,L-Citrulline,c,0,citr__L,,,,,,,
argsucc_c,C10H17N4O6,N-(L-Arginino)succinate,c,-1,argsuc,,,,,,,
arg_c,C6H15N4O2,L-Arginine,c,1,arg__L,,,,,,,
urea_c,CH4N2O,Urea,c,0,urea,,,,,,,
agmt_c,C5H16N4,Agmatine,c,2,agm,,,,,,,
no_c,NO,Nitricoxide,c,0,no,,,,,,,
ureacar_c,C2H3N2O3,Urea-1-carboxylate,c,-1,allphn,,,,,,,
glugsal_c,C5H9NO3,L-Glutamate 5-semialdehyde,c,0,glusemald,,,,,,,
glu5p_c,C5H8NO7P,L-Glutamyl5-phosphate,c,-2,glu5p,,,,,,,
p5c_c,C5H6NO2,(S)-1-Pyrroline-5-carboxylate,c,-1,1pyr5c,,,,,,,
pro_c,C5H9NO2,L-Proline,c,0,pro__L,,,,,,,
phc_c,C5H6NO3,L-1-Pyrroline-3-hydroxy-5-carboxylate,c,-1,1p3h5c,,,,,,,
e4hglu_c,C5H8NO5,L-erythro-4-Hydroxyglutamate,c,-1,e4hglu,,,,,,,
abal_c,C4H10NO,4-Aminobutanal,c,1,4abutn,,,,,,,
hpro_c,C5H9NO3,trans-4-Hydroxy-L-proline,c,0,4hpro_LT,,,,,,,
4hglusa_c,C5H9NO4,L-4-Hydroxyglutamatesemialdehyde,c,0,4hglusa,,,,,,,
hydroxyakg_c,C5H4O6,D-4-Hydroxy-2-oxoglutarate,c,-2,4h2oxg,,,,,,,
dasp_c,C4H6NO4,D-Aspartate,c,-1,asp__D,,,,,,,
glx_c,C2HO3,Glyoxylate,c,-1,glx,,,,,,,
asprm_c,C9H23N3O,N-Acetylspermidine,c,2,n8aspmd,,,,,,,
prbatp_c,C15H19N5O20P4,Phosphoribosyl-ATP,c,-6,prbatp,,,,,,,
prpp_c,C5H8O14P3,5-Phospho-alpha-D-ribose1-diphosphate,c,-5,prpp,,,,,,,
prbamp_c,C15H19N5O14P2,Phosphoribosyl-AMP,c,-4,prbamp,,,,,,,
prfp_c,C15H21N5O15P2,5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide,c,-4,prfp,,,,,,,
prlp_c,C15H21N5O15P2,N-(5-Phospho-D-1-ribulosylformimino)-5-amino-1-(5-phospho-D-ribosyl)-4-imidazolecarboxamide,c,-4,prlp,,,,,,,
dimgp_c,C6H9N2O6P,D-erythro-1-(Imidazol-4-yl)glycerol3-phosphate,c,-2,eig3p,,,,,,,
aicar_c,C9H13N4O8P,1-(5-Phosphoribosyl)-5-amino-4-imidazolecarboxamide,c,-2,aicar,,,,,,,
imacp_c,C6H7N2O5P,3-(Imidazol-4-yl)-2-oxopropylphosphate,c,-2,imacp,,,,,,,
hisolp_c,C6H11N3O4P,L-Histidinolphosphate,c,-1,hisp,,,,,,,
hisol_c,C6H12N3O,L-Histidinol,c,1,histd,,,,,,,
his_c,C6H9N3O2,L-Histidine,c,0,his__L,,,,,,,
uroca_c,C6H5N2O2,Urocanate,c,-1,urcan,,,,,,,
imipr_c,C6H6N2O3,4-Imidazolone-5-propanoate,c,-2,4izp,,,,,,,
forglu_c,C6H9N2O4,N-Formimino-L-glutamate,c,-1,nflgln,,,,,,,
pep_c,C3H2O6P,Phosphoenolpyruvate,c,-2,pep,,,,,,,
e4p_c,C4H7O7P,D-Erythrose4-phosphate,c,-2,e4p,,,,,,,
3ddah7p_c,C7H10O10P,2-Dehydro-3-deoxy-D-arabino-heptonate7-phosphate,c,-3,2dda7p,,,,,,,
dqt_c,C7H9O6,3-Dehydroquinate,c,-1,3dhq,,,,,,,
dhsk_c,C7H7O5,3-Dehydroshikimate,c,-1,3dhsk,,,,,,,
sme_c,C7H9O5,Shikimate,c,-1,skm,,,,,,,
sme3p_c,C7H8O8P,Shikimate3-phosphate,c,-3,skm5p,,,,,,,
3psme_c,C10H9O10P,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,c,-4,3psme,,,,,,,
chor_c,C10H8O6,Chorismate,c,-2,chor,,,,,,,
an_c,C7H6NO2,Anthranilate,c,-1,anth,,,,,,,
npran_c,C12H13NO9P,N-(5-Phospho-D-ribosyl)anthranilate,c,-3,pran,,,,,,,
