abbreviation,Formula,Description,Compartment,Charge,bigg_name,ModelSEED,New_ID,Comments,,,,
cpd15740_c,C43H82O10,"Monoglucosyl-1,2diisoheptadecanoylglycerol",c,0,,cpd15740,mg12diheptdecg,No existe en bigg ,,,,
cpd15741_c,C43H82O10,"Monoglucosyl-1,2dianteisoheptadecanoylglycerol",c,0,,cpd15741,mg12daiheptdecg,No existe en bigg ,,,,
cpd15742_c,C37H70O10,"Monoglucosyl-1,2diisotetradecanoylglycerol",c,0,,cpd15742,mg12ditetdecg,No existe en bigg ,,,,
cpd15743_c,C39H74O10,"Monoglucosyl-1,2diisopentadecanoylglycerol",c,0,,cpd15743,mg12dipentdecg,No existe en bigg ,,,,
cpd15744_c,C39H74O10,"Monoglucosyl-1,2dianteisopentadecanoylglycerol",c,0,,cpd15744,mg12daipentdecg,No existe en bigg ,,,,
cpd15745_c,C41H78O10,"Monoglucosyl-1,2diisohexadecanoylglycerol",c,0,,cpd15745,mg12dihexdecg,No existe en bigg ,,,,
cpd15538_c,C38H74O10P,"Phosphatidylglyceroldihexadecanoyl|Phosphatidylglycerol(dihexadecanoyl,n-C16:0)",c,-1,pg160,,,,,,,
cpd15782_c,C44H88N2O11P,Palmitoyllysylphophatidylglycerol,c,1,palmphgl,,,,,,,
cpd15536_c,C34H66O10P,Phosphatidylglycerolditetradecanoyl,c,-1,pg140,,,,,,,
cpd15783_c,C40H80N2O11P,Myristoyllysylphophatidylglycerol,c,1,myrphgl,,,,,,,
cpd15540_c,C42H82O10P,Phosphatidylglyceroldioctadecanoyl,c,-1,pg180,,,,,,,
cpd15784_c,C48H96N2O11P,Stearoyllysylphophatidylglycerol,c,1,strphglc,,,,,,,
cpd15785_c,C46H92N2O11P,Isoheptadecanoyllysylphophatidylglycerol,c,1,,cpd15785,iheptdeclpg,No existe en bigg ,,,,
cpd15786_c,C46H92N2O11P,Anteisoheptadecanoyllysylphophatidylglycerol,c,1,,cpd15786,aiheptdeclpg,No existe en bigg ,,,,
cpd15787_c,C40H80N2O11P,Isotetradecanoyllysylphophatidylglycerol,c,1,,cpd15787,itetdeclpg,No existe en bigg ,,,,
cpd15788_c,C42H84N2O11P,Isopentadecanoyllysylphophatidylglycerol,c,1,,cpd15788,ipentdeclpg,No existe en bigg ,,,,
cpd15789_c,C42H84N2O11P,Anteisopentadecanoyllysylphophatidylglycerol,c,1,,cpd15789,aipentdeclpg,No existe en bigg ,,,,
cpd15790_c,C44H88N2O11P,Isohexadecanoyllysylphophatidylglycerol,c,1,,cpd15790,ihexdeclpg,No existe en bigg ,,,,
cpd15791_c,C73H140O17P2,Palmitoylcardiolipin(B.megaterium),c,-2,clpn160,,,,,,,
cpd15792_c,C65H124O17P2,Myristoylcardiolipin(B.megaterium),c,-2,clpn140,,,,,,,
cpd15793_c,C81H156O17P2,Stearoylcardiolipin(B.megaterium),c,-2,clpn180,,,,,,,
cpd15794_c,C77H148O17P2,Isoheptadecanoylcardiolipin(B.megaterium),c,-2,isohdcard,,,,,,,
cpd15795_c,C77H148O17P2,Anteisoheptadecanoylcardiolipin(B.megaterium),c,-2,antcard,,,,,,,
cpd15797_c,C69H132O17P2,Isopentadecanoylcardiolipin(B.megaterium),c,-2,isopcard,,,,,,,
cpd15798_c,C69H132O17P2,Anteisopentadecanoylcardiolipin(B.megaterium),c,-2,,cpd15798,aipentdeccl,No existe en bigg ,,,,
cpd15799_c,C73H140O17P2,Isohexadecanoylcardiolipin(B.megaterium),c,-2,isohdcard,,,,,,,
cpd15423_c,C40H71N3O15P2,"CDP-1,2-ditetradecanoylglycerol",c,-2,cdpdtdecg,,,,,,,
cpd15419_c,C44H79N3O15P2,"CDP-1,2-dihexadecanoylglycerol",c,-2,cdpdhdecg,,,,,,,
cpd15421_c,C48H87N3O15P2,"CDP-1,2-dioctadecanoylglycerol",c,-2,cdpdodecg,,,,,,,
cpd15543_c,C34H66O13P2,Phosphatidylglycerophosphateditetradecanoyl,c,-2,pgp140,,,,,,,
cpd15545_c,C38H74O13P2,"Phosphatidylglycerophosphatedihexadecanoyl|Phosphatidylglycerophosphate(dihexadecanoyl,n-C16:0)",c,-2,pgp160,,,,,,,
cpd15547_c,C42H82O13P2,Phosphatidylglycerophosphatedioctadecanoyl,c,-2,pgp180,,,,,,,
cpd15553_c,C34H64NO10P,phosphatidylserineditetradecanoyl,c,-2,ps140,,,,,,,
cpd15529_c,C33H66NO8P,phosphatidylethanolamineditetradecanoyl,c,0,pe140,,,,,,,
cpd15555_c,C38H72NO10P,"phosphatidylserinedihexadecanoyl|phosphatidylserine(dihexadecanoyl,n-C16:0)",c,-2,ps160,,,,,,,
cpd15531_c,C37H74NO8P,"phosphatidylethanolaminedihexadecanoyl|phosphatidylethanolamine(dihexadecanoyl,n-C16:0)",c,0,pe160,,,,,,,
cpd15557_c,C42H80NO10P,"phosphatidylserinedioctadecanoyl|phosphatidylserine(dioctadecanoyl,n-C18:0)",c,-2,ps180,,,,,,,
cpd15533_c,C41H82NO8P,"phosphatidylethanolaminedioctadecanoyl|phosphatidylethanolamine(dioctadecanoyl,n-C18:0)",c,0,pe180,,,,,,,
glycerocho_c,C8H20NO6P,sn-glycero-3-Phosphocholine,c,0,g3pc,,,,,,,
cho_c,C5H14NO,Choline,c,1,chol,,,,,,,
glycerope_c,C5H14NO6P,sn-Glycero-3-phosphoethanolamine,c,0,g3pe,,,,,,,
etham_c,C2H8NO,Ethanolamine,c,1,etha,,,,,,,
apoacp_c,RHO,apoprotein_acylcarrierprotein,c,0,apoACP,,,,,,,
4ppnte_c,C11H21N2O7PS,Pantetheine4-phosphate,c,-2,pan4p,,,,,,,
air_c,C8H13N3O7P,Aminoimidazoleribotide,c,-1,air,,,,,,,
ahm_c,C6H9N3O,4-Amino-5-hydroxymethyl-2-methylpyrimidine,c,0,4ahmmp,,,,,,,
ahmp_c,C6H8N3O4P,4-Amino-2-methyl-5-phosphomethylpyrimidine,c,-2,4a2mpmpmd,,,,,,,
2mahmp_c,C6H8N3O7P2,2-Methyl-4-amino-5-hydroxymethylpyrimidinediphosphate,c,-3,2mahmp,,,,,,,
imgly_c,C2H2NO2,Iminoglycine,c,-1,imgly,,,,,,,
thz_c,C6H9NOS,5-(2-Hydroxyethyl)-4-methylthiazole,c,0,4mhetz,,,,,,,
thzp_c,C6H8NO4PS,4-Methyl-5-(2-phosphoethyl)-thiazole,c,-2,4mpetz,,,,,,,
thmp_c,C12H16N4O4PS,Thiaminmonophosphate,c,-1,thmmp,,,,,,,
c20247_c,C7H10NO6PS,2-(2-Carboxy-4-methylthiazol-5-yl)ethylphosphate ,c,0,2c4mthzep,,,,,,,
thme_c,C12H17N4OS,Thiamine,c,1,thm,,,,,,,
thtp_c,C12H16N4O10P3S,Thiamintriphosphate,c,-3,thmtp,,,,,,,
d6rp5p_c,C9H14N5O8P,"2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one",c,-2,25drapp,,,,,,,
a6rp5p_c,C9H13N4O9P,5-Amino-6-(5-phosphoribosylamino)uracil,c,-2,5apru,,,,,,,
a6rp5p2_c,C9H15N4O9P,5-Amino-6-(5-phosphoribitylamino)uracil,c,-2,5aprbu,,,,,,,
4r5au_c,C9H16N4O6,"4-(1-D-Ribitylamino)-5-amino-2,6-dihydroxypyrimidine",c,0,4r5au,,,,,,,
db4p_c,C4H7O6P,"3,4-Dihydroxy-2-butanone4-phosphate",c,-2,db4p,,,,,,,
d8rl_c,C13H17N4O6,"6,7-Dimethyl-8-(D-ribityl)lumazine",c,-1,dmlz,,,,,,,
ribflav_c,C17H20N4O6,Riboflavin,c,0,ribflv,,,,,,,
fmn_c,C17H19N4O9P,FMN,c,-2,fmn,,,,,,,
fmnh2_c,C17H21N4O9P,FMNH2,c,-2,fmnh2,,,,,,,
dimben_c,C9H10N2,Dimethylbenzimidazole,c,0,dmbzid,,,,,,,
imasp_c,C4H3NO4,Iminoaspartate,c,-2,iasp,,,,,,,
pyr2car_c,C7H3NO4,"Pyridine-2,3-dicarboxylate",c,-2,quln,,,,,,,
namn_c,C11H12NO9P,NicotinateD-ribonucleotide,c,-2,nicrnt,,,,,,,
dnad_c,C21H24N6O15P2,Deamino-NAD+,c,-2,dnad,,,,,,,
nmn_c,C11H14N2O8P,NicotinamideD-ribonucleotide,c,-1,nmn,,,,,,,
namd_c,C11H15N2O5,N-Ribosylnicotinamide,c,1,rnam,,,,,,,
nicd_c,C6H6N2O,Nicotinamide,c,0,ncam,,,,,,,
nica_c,C6H4NO2,Nicotinate,c,-1,nac,,,,,,,
akp_c,C6H9O4,2-Dehydropantoate,c,-1,2dhp,,,,,,,
pant_c,C6H11O4,(R)-Pantoate,c,-1,pant__R,,,,,,,
pnto_c,C9H16NO5,Pantothenate,c,-1,pnto__R,,,,,,,
4ppnto_c,C9H15NO8P,D-4-Phosphopantothenate,c,-3,4ppan,,,,,,,
4ppncys_c,C12H20N2O9PS,(R)-4-Phosphopantothenoyl-L-cysteine,c,-3,4ppcys,,,,,,,
ptt_c,C11H22N2O4S,Pantetheine,c,0,ptth,,,,,,,
dpcoa_c,C21H33N7O13P2S,Dephospho-CoA,c,-2,dpcoa,,,,,,,
mmeacp_c,C15H25N2O10PRS,Malonyl-_acyl-carrierproteinmethylester,c,-1,malmeACP,,,,,,,
c20372_c,C6H7O4SR,3-Ketoglutaryl-_acpmethylester ,c,0,skgmeACP,,,,,,,
gmeacp_c,C17H29N2O10PRS,Glutaryl-_acyl-carrierproteinmethylester,c,-1,glmeACP,,,,,,,
c20376_c,C8H11O4SR,3-Ketopimeloyl-_acpmethylester ,c,0,skpmeACP,,,,,,,
c20373_c,C6H9O4SR,3-Hydroxyglutaryl-_acpmethylester ,c,0,3hgmeACP,,,,,,,
c20377_c,C8H13O4SR,3-Hydroxypimeloyl-_acpmethylester ,c,0,3hpmeACP,,,,,,,
c20374_c,C6H7O3SR,Enoylglutaryl-_acpmethylester ,c,0,egmeACP,,,,,,,
c20378_c,C8H11O3SR,Enoylpimeloyl-_acpmethylester ,c,0,epmeACP,,,,,,,
pmeacp_c,C19H33N2O10PRS,Pimeloyl-_acyl-carrierproteinmethylester,c,-1,pmeACP,,,,,,,
pimacp_c,C18H31N2O10PRS,Pimeloyl-_acyl-carrierprotein,c,-1,pimACP,,,,,,,
methol_c,CH4O,methanol,c,0,meoh,,,,,,,
aona_c,C9H17NO3,8-Amino-7-oxononanoate,c,0,8aonn,,,,,,,
pmcoa_c,C28H41N7O19P3S,Pimeloyl-CoA,c,-5,pmcoa,,,,,,,
amob_c,C15H19N5O6S,S-Adenosyl-4-methylthio-2-oxobutanoate,c,0,amob,,,,,,,
danna_c,C9H21N2O2,"7,8-Diaminononanoate",c,1,dann,,,,,,,
dtb_c,C10H17N2O3,Dethiobiotin,c,-1,dtbt,,,,,,,
s_c,S,Sulfur,c,0,s,,,,,,,
bt_c,C10H15N2O3S,Biotin,c,-1,btn,,,,,,,
dad5_c,C10H13N5O3,5-Deoxyadenosine,c,0,dad_5,,,,,,,
c80acp_c,C19H35N2O8PRS,octanoyl-_acyl-carrierprotein,c,-1,octacp,,,,,,,
suldo_c,S,Sulfurdonor,c,-2,,,,??? Qué coño es esto,,,,
lpacp_c,C8H13OS3R,Lipoyl-_acp,c,0,lipACP,,,,,,,
fpyntp_c,C10H15N5O15P3,Formamidopyrimidinenucleosidetriphosphate,c,-3,fapnt,,,,,,,
diantp_c,C9H14N5O14P3,"2,5-Diaminopyrimidinenucleosidetriphosphate",c,-4,HC01652,,,,,,,
diatrpao_c,C9H14N5O14P3,"2,5-Diamino-6-(5-triphosphoryl-3,4-trihydroxy-2-oxopentyl)-amino-4-oxopyrimidine",c,-4,dattoo,,,,,,,
ahdt_c,C9H12N5O13P3,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridinetriphosphate",c,-4,ahdt,,,,,,,
pyrtetr_c,C9H11N5O3,6-Pyruvoyltetrahydropterin,c,0,6pthp,,,,,,,
dhp_c,C9H13N5O4,"7,8-Dihydroneopterin",c,0,HC01361,,,,,,,
ahhmp_c,C7H9N5O2,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",c,0,2ahhmp,,,,,,,
ahhmd_c,C7H8N5O8P2,"2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine",c,-3,2ahhmd,,,,,,,
adchor_c,C10H10NO5,4-Amino-4-deoxychorismate,c,-1,4adcho,,,,,,,
paba_c,C7H6NO2,4-Aminobenzoate,c,-1,4abz,,,,,,,
dhpt_c,C14H13N6O3,Dihydropteroate,c,-1,dhpt,,,,,,,
dhf_c,C19H19N7O6,Dihydrofolate,c,-2,dhf,,,,,,,
fol_c,C19H17N7O6,Folate,c,-2,fol,,,,,,,
thfglu_c,C24H30N8O9,Tetrahydrofolyl-_Glu(2),c,0,thfglu,,,,,,,
thfglu3_c,C29H37N9O12,Tetrahydrofolyl-_Glu(3),c,0,,,,No existe en bigg ,,,,
gar_c,C7H14N2O8P,5-Phosphoribosylglycinamide,c,-1,gar,,,,,,,
methf_c,C20H20N7O6,"5,10-Methenyltetrahydrofolate",c,-1,methf,,,,,,,
fgar_c,C8H13N2O9P,5-Phosphoribosyl-N-formylglycinamide,c,-2,fgam,,,,,,,
5fthf_c,C20H21N7O7,5-Formyltetrahydrofolate,c,-2,5fothf,,,,,,,
mthf_c,C20H23N7O6,5-Methyltetrahydrofolate,c,-2,5mthf,,,,,,,
dump_c,C9H11N2O8P,dUMP,c,-2,dump,,,,,,,
dtmp_c,C10H13N2O8P,dTMP,c,-2,dtmp,,,,,,,
fthf_c,C20H21N7O7,10-Formyltetrahydrofolate,c,-2,10fthf,,,,,,,
etrna_c,C20H29N5O16P2R2,tRNA(Glu),c,0,trnaglu,,,,,,,
lglutrna_c,C25H36N6O19P2R2,L-Glutamyl-tRNA(Glu),c,0,glutrna,,,,,,,
s4amoxope_c,C5H9NO3,(S)-4-Amino-5-oxopentanoate,c,0,glu1sa,,,,,,,
amievul_c,C5H9NO3,5-Aminolevulinate,c,0,5aop,,,,,,,
ppbg_c,C10H13N2O4,Porphobilinogen,c,-1,ppbng,,,,,,,
hmtb_c,C40H38N4O17,Hydroxymethylbilane,c,-8,hmbil,,,,,,,
udpgi_c,C40H44N4O16,uroporphyrinogenI,c,0,uppg1,,,,,,,
cpgi_c,C36H40N4O8,coproporphyrinogenI,c,-4,cpppg1,,,,,,,
upgiii_c,C40H36N4O16,UroporphyrinogenIII,c,-8,uppg3,,,,,,,
cpgiii_c,C36H40N4O8,CoproporphyrinogenIII,c,-4,cpppg3,,,,,,,
ppgix_c,C34H38N4O4,ProtoporphyrinogenIX,c,-2,pppg9,,,,,,,
pprix_c,C34H32N4O4,Protoporphyrin,c,-2,ppp9,,,,,,,
fe2_c,Fe,Fe2+,c,2,fe2,,,,,,,
fe3_c,Fe,Fe3+,c,3,fe3,,,,,,,
heme_c,C34H30FeN4O4,Heme,c,-2,pheme,,,,,,,
c05770_c,C36H38N4O8,CoproporphyrinIII ,c,0,cpp3,,,,,,,
c21284_c,C36H36FeN4O8,Fe-coproporphyrinIII ,c,0,fecpp3,,,,,,,
frdp_c,C15H25O7P2,"trans,trans-Farnesyldiphosphate",c,-3,frdp,,,,,,,
hemeo_c,C49H56FeN4O5,HemeO,c,-2,hemeO,,,,,,,
hemea_c,C49H54FeN4O6,HemeA,c,-2,hemeA,,,,,,,
pre2_c,C42H41N4O16,Precorrin2,c,-7,dscl,,,,,,,
shcr_c,C42H38N4O16,sirohydrochlorin,c,-8,scl,,,,,,,
cobalt2_c,Co,Co2+,c,2,cobalt2,,,,,,,
cosir_c,C42H36CoN4O16,Cobalt-sirohydrochlorin,c,-8,cbshclin,,,,,,,
cobfiii_c,C43H38CoN4O16,Cobalt-factorIII,c,-8,cbflll,,,,,,,
copr3_c,C43H41CoN4O16,Cobalt-precorrin3,c,-7,copre3,,,,,,,
copr4_c,C44H45CoN4O16,Cobalt-precorrin4,c,-5,copre4,,,,,,,
copr5a_c,C45H45CoN4O16,Cobalt-precorrin5A,c,-7,codscl5a,,,,,,,
copr5b_c,C43H43CoN4O16,Cobalt-precorrin5B,c,-7,codscl5b,,,,,,,
copr6_c,C44H45CoN4O16,Cobalt-precorrin6,c,-7,copre6,,,,,,,
cohyp6_c,C44H47CoN4O16,Cobalt-dihydro-precorrin6,c,-7,codhpre6,,,,,,,
copr7_c,C45H49CoN4O16,Cobalt-precorrin7,c,-7,codscl7,,,,,,,
copr8_c,C45H52CoN4O14,Cobalt-precorrin8,c,-6,codscl8x,,,,,,,
coby_c,C45H52CoN4O14,Cobyrinate,c,-6,cobya,,,,,,,
cob2dide_c,C45H56CoN6O12,"Cob(II)yrinatea,cdiamide",c,-4,co2dam,,,,,,,
pre3a_c,C43H43N4O16,precorrin3A,c,-7,pre3a,,,,,,,
pre3b_c,C43H43N4O17,Precorrin3B,c,-7,pre3b,,,,,,,
pre4_c,C44H44N4O17,Precorrin4,c,-8,pre4,,,,,,,
pre5_c,C45H46N4O17,precorrin5,c,-8,pre5,,,,,,,
pre6x_c,C44H46N4O16,Precorrin6X,c,-8,pre6a,,,,,,,
pre6y_c,C44H49N4O16,Precorrin6Y,c,-7,pre6b,,,,,,,
pre8x_c,C45H53N4O14,Precorrin8X,c,-7,hgbyr,,,,,,,
hyby_c,C45H54N4O14,Hydrogenobyrinate,c,-6,hgbyr,,,,,,,
hybyda_c,C45H58N6O12,"Hydrogenobyrinatea,cdiamide",c,-4,hgbam,,,,,,,
cob1dide_c,C45H57CoN6O12,"Cob(I)yrinatea,cdiamide",c,-4,co1dam,,,,,,,
adcodie_c,C55H68CoN11O15,"Adenosylcobyrinatea,cdiamide",c,-4,adcobdam,,,,,,,
adcohex_c,C55H76CoN15O11,Adenosylcobyrinatehexaamide,c,0,adcobn,,,,,,,
ramol_c,C3H10NO,(R)-1-aminopropan-2-ol,c,1,app,,,,,,,
adocbi_c,C58H84CoN16O11,Adenosylcobinamide,c,1,adocbi,,,,,,,
cbi_c,C48H72N11O8Co,cobinamide,c,-1,cbi,,,,,,,
adocbip_c,C58H83CoN16O14P,Adenosylcobinamidephosphate,c,-1,acap,,,,,,,
gdp_c,C10H12N5O11P2,GDP,c,-3,gdp,,,,,,,
agdpcbi_c,C68H95CoN21O21P2,adenosine-GDP-cobinamide,c,-1,agdpcbi,,,,,,,
thr3p_c,C4H8NO6P,L-ThreonineO-3-phosphate,c,-2,thrp,,,,,,,
amip_c,C3H9NO4P,D-1-Aminopropan-2-olO-phosphate,c,-1,applp,,,,,,,
ri5p_c,C14H17N2O7P,alpha-ribazole5-phosphate,c,-2,5prdmbz,,,,,,,
ribaz_c,C14H18N2O4,alpha-Ribazole,c,0,rdmbzi,,,,,,,
cobce_c,C72H100CoN18O17P,Cobamidecoenzyme,c,0,adocbl,,,,,,,
gmp_c,C10H12N5O8P,GMP,c,-2,gmp,,,,,,,
ichor_c,C10H8O6,Isochorismate,c,-2,ichor,,,,,,,
succyca_c,C14H13O9,2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate,c,-3,sephcpc,,,,,,,
shchc_c,C11H10O6,"(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",c,-2,2shchc,,,,,,,
sucben_c,C11H8O5,2-Succinylbenzoate,c,-2,sucbz,,,,,,,
sucbenco_c,C32H39N7O20P3S,2-Succinylbenzoyl-CoA,c,-5,sbzcoa,,,,,,,
dhntcoa_c,C32H38N7O19P3S,"1,4-Dihydroxy-2-naphthoyl-CoA",c,-4,14dhncoa,,,,,,,
dhn_c,C11H7O4,"1,4-Dihydroxy-2-naphthoate",c,-1,dhna,,,,,,,
opp_c,C40H65O7P2,all-trans-Octaprenyldiphosphate,c,-3,octdp,,,,,,,
dmkh_c,C50H72O2,2-demethylmenaquinol-8,c,0,2dmmql8,,,,,,,
phydp_c,C20H39O7P2,Phytyldiphosphate,c,-3,phdp,,,,,,,
2p14nq_c,C30H44O2,"2-Phytyl-1,4-naphthoquinone",c,0,dmtphllqne,,,,,,,
pq_c,C31H46O2,Phylloquinone,c,0,phllqne,,,,,,,
sihm_c,C42H36FeN4O16,Siroheme,c,-8,sheme,,,,,,,
nar_c,C11H13NO6,NicotinateD-ribonucleoside,c,0,nicrns,,,,,,,
pdxl5pi_c,C8H8NO6P,Pyridoxalphosphate,c,-2,pydx5p,,,,,,,
pdxal_c,C8H9NO3,pyridoxal,c,0,pydx,,,,,,,
pdxam_c,C8H13N2O2,pyridoxamine,c,1,pydam,,,,,,,
pdxam5pi_c,C8H12N2O5P,pyridoxamine5-phosphate,c,-1,pyam5p,,,,,,,
pdxi_c,C8H11NO3,pyridoxine,c,0,pydxn,,,,,,,
p5p_c,C8H10NO6P,pyridoxine5-phosphate,c,-2,pdx5p,,,,,,,
adpr_c,C15H21N5O14P2,ADP-ribose,c,-2,adprib,,,,,,,
pram_c,C5H11NO7P,5-Phosphoribosylamine,c,-1,pram,,,,,,,
fgam_c,C8H15N3O8P,2-(Formamido)-N1-(5-phosphoribosyl)acetamidine,c,-1,fpram,,,,,,,
c15667_c,C9H14N3O9P,5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole ,c,0,5ca1rpi,,,,,,,
cair_c,C9H11N3O9P,1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate,c,-3,5aizc,,,,,,,
saicar_c,C13H15N4O12P,1-(5-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole,c,-4,25aics,,,,,,,
aicad_c,C4H6N4O,5-Amino-4-imidazolecarboxyamide,c,0,5a4icam,,,,,,,
prfica_c,C10H13N4O9P,1-(5-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide,c,-2,fprica,,,,,,,
imp_c,C10H11N4O8P,IMP,c,-2,imp,,,,,,,
xmp_c,C10H11N4O9P,Xanthosine5-phosphate,c,-2,xmp,,,,,,,
hyxn_c,C5H4N4O,Hypoxanthine,c,0,hxan,,,,,,,
ins_c,C10H12N4O5,Inosine,c,0,ins,,,,,,,
xtsine_c,C10H12N4O6,Xanthosine,c,0,xtsn,,,,,,,
xan_c,C5H4N4O2,Xanthine,c,0,xan,,,,,,,
asuc_c,C14H14N5O11P,"N6-(1,2-Dicarboxyethyl)-AMP",c,-4,dcamp,,,,,,,
dc_c,C9H13N3O4,Deoxycytidine,c,0,dcyt,,,,,,,
dcmp_c,C9H12N3O7P,dCMP,c,-2,dcmp,,,,,,,
adn_c,C10H13N5O4,Adenosine,c,0,adn,,,,,,,
c02354_c,C9H12N3O7P,"2',3'-CyclicCMP ",c,0,23ccmp,,,,,,,
c05822_c,C9H14N3O8P,3'-CMP ,c,0,3cmp,,,,,,,
c02355_c,C9H11N2O8P,"2',3'-CyclicUMP ",c,0,23cump,,,,,,,
c01368_c,C9H13N2O9P,3'-UMP ,c,0,3ump,,,,,,,
3amp_c,C10H12N5O7P,3-AMP,c,-2,3amp,,,,,,,
da_c,C10H13N5O3,Deoxyadenosine,c,0,dad_2,,,,,,,
din_c,C10H12N4O4,Deoxyinosine,c,0,din,,,,,,,
damp_c,C10H12N5O6P,dAMP,c,-2,damp,,,,,,,
dadp_c,C10H12N5O9P2,dADP,c,-3,dadp,,,,,,,
datp_c,C10H12N5O12P3,dATP,c,-4,datp,,,,,,,
idp_c,C10H11N4O11P2,IDP,c,-3,idp,,,,,,,
itp_c,C10H11N4O14P3,ITP,c,-4,itp,,,,,,,
dgmp_c,C10H12N5O7P,dGMP,c,-2,dgmp,,,,,,,
dgdp_c,C10H12N5O10P2,dGDP,c,-3,dgdp,,,,,,,
gn_c,C5H5N5O,Guanine,c,0,gua,,,,,,,
gsn_c,C10H13N5O5,Guanosine,c,0,gsn,,,,,,,
dg_c,C10H13N5O4,Deoxyguanosine,c,0,dgsn,,,,,,,
dgtp_c,C10H12N5O13P3,dGTP,c,-4,dgtp,,,,,,,
pppgpp_c,C10H12N5O20P5,Guanosine3-diphosphate5-triphosphate,c,-6,gdptp,,,,,,,
ppgpp_c,C10H12N5O17P4,"Guanosine3,5-bis(diphosphate)",c,-5,ppgpp,,,,,,,
didp_c,C10H11N4O10P2,dIDP,c,-3,didp,,,,,,,
ditp_c,C10H11N4O13P3,dITP,c,-4,ditp,,,,,,,
dimp_c,C10H11N4O7P,2-Deoxyinosine5-phosphate,c,-2,dimp,,,,,,,
xtp_c,C10H11N4O15P3,XTP,c,-4,xtp,,,,,,,
23cgmp_c,C10H11N5O7P,"2,3-CyclicGMP",c,-1,23cgmp,,,,,,,
3gmp_c,C10H12N5O8P,Guanosine3-phosphate,c,-2,3gmp,,,,,,,
23cgmp_e,C10H11N5O7P,"2,3-CyclicGMP",e,-1,23cgmp,,,,,,,
uri_c,C9H12N2O6,Uridine,c,0,uri,,,,,,,
cytd_c,C9H13N3O5,Cytidine,c,0,cytd,,,,,,,
urate_c,C5H4N4O3,Urate,c,0,urate,,,,,,,
att_c,C4H7N4O4,Allantoate,c,-1,alltt,,,,,,,
uglyc_c,C3H5N2O4,ureidoglycolate,c,-1,urdglyc,,,,,,,
hiur_c,C5H4N4O4,5-Hydroxyisourate,c,0,5hiu,,,,,,,
hyurcar_c,C5H5N4O5,"5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate",c,-1,5houdic,,,,,,,
alloin_c,C4H5N4O3,Allantoin,c,-1,alltn__R,,,,,,,
ur_c,C3H7N3O3,Ureidoglycine,c,0,urdgci,,,,,,,
c00802_c,C3H4N2O4,Oxalureate ,c,0,oxur,,,,,,,
caasp_c,C5H6N2O5,N-Carbamoyl-L-aspartate,c,-2,cbasp,,,,,,,
doroa_c,C5H5N2O4,(S)-Dihydroorotate,c,-1,dhor__S,,,,,,,
oroa_c,C5H3N2O4,Orotate,c,-1,orot,,,,,,,
omp_c,C10H10N2O11P,Orotidine5-phosphate,c,-3,orot5p,,,,,,,
ump_c,C9H11N2O9P,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",c,-1,ump,ump,,,,,,
ura_c,C4H4N2O2,Uracil,c,0,ura,,,,,,,
du_c,C9H12N2O5,Deoxyuridine,c,0,duri,,,,,,,
cdp_c,C9H12N3O11P2,CDP,c,-3,cdp,,,,,,,
dcdp_c,C9H12N3O10P2,dCDP,c,-3,dcdp,,,,,,,
dctp_c,C9H12N3O13P3,dCTP,c,-4,dctp,,,,,,,
dudp_c,C9H11N2O11P2,dUDP,c,-3,dudp,,,,,,,
dutp_c,C9H11N2O14P3,dUTP,c,-4,dutp,,,,,,,
dtdp_c,C10H13N2O11P2,dTDP,c,-3,dtdp,,,,,,,
dt_c,C10H14N2O5,Thymidine,c,0,thymd,,,,,,,
dttp_c,C10H13N2O14P3,dTTP,c,-3,dttp,,,,,,,
thy_c,C5H6N2O2,Thymine,c,0,thym,,,,,,,
56dthm_c,C5H8N2O2,dihydrothymine,c,0,56dthm,,,,,,,
dihura_c,C4H6N2O2,"5,6-Dihydrouracil",c,0,56dura,,,,,,,
caala_c,C4H7N2O3,3-Ureidopropionate,c,-1,cala,,,,,,,
glyasp_e,C6H9N2O5,gly-asp-L,e,-1,gly_asp__L,,,,,,,
alaasp_e,C7H11N2O5,ala-L-asp-L,e,-1,ala_L_asp__L,,,,,,,
alathr_e,C7H14N2O4,ala-L-Thr-L,e,0,ala_L_Thr__L,,,,,,,
glypro_e,C7H12N2O3,gly-pro-L,e,0,gly_pro__L,,,,,,,
glypro_c,C7H12N2O3,gly-pro-L,c,0,gly_pro__L,,,,,,,
glyasn_e,C6H11N3O4,gly-asn-L,e,0,gly_asn__L,,,,,,,
